country,name,teams,maps,rounds,K/D Diff,K/D,Rating 1.0
Latvia,broky,FaZe,776,20514,1886,1.15,1.07
Bulgaria,dennyslaw,500,265,7194,583,1.13,1.07
United Kingdom,smooya,BIG,373,9898,758,1.12,1.07
Canada,WARDELL,Ghost,82,2227,159,1.11,1.06
Russia,zorte,BetBoom,386,10165,908,1.15,1.06
United States,oSee,Liquid,455,12389,1038,1.13,1.06
Canada,NAF,Liquid,1380,36612,2726,1.12,1.06
Russia,WorldEdit,FlipSid3,418,10916,622,1.08,1.06
Belarus,lollipop21k,Nemiga,122,3357,135,1.06,1.06
Denmark,Magisk,Astralis,1468,38829,2651,1.11,1.06
Germany,syrsoN,BIG,780,20968,1543,1.12,1.06
Denmark,valde,North,1044,28013,1700,1.09,1.06
United States,EliGE,Liquid,1468,38858,1860,1.07,1.06
Belgium,ScreaM,Envy,661,17353,874,1.07,1.06
Russia,clax,9 Pandas,53,1189,82,1.11,1.05
Ukraine,Woro2k,Monte,224,5684,398,1.11,1.05
Bulgaria,CeRq,NRG,710,18910,1307,1.11,1.05
Brazil,yuurih,FURIA,700,18364,1176,1.1,1.05
Spain,mixwell,OpTic,443,11505,569,1.07,1.05
Sweden,nawwk,Apeks,538,14174,1149,1.13,1.05
Finland,allu,ENCE,893,23672,1557,1.1,1.05
United States,autimatic,Cloud9,799,21099,1100,1.08,1.05
Denmark,k0nfig,Dignitas,1318,35165,1155,1.05,1.05
Spain,MartinezSa,Movistar Riders,148,3763,260,1.11,1.05
Denmark,dupreeh,Astralis,1554,40839,2457,1.09,1.05
Jordan,BOROS,Monte,120,3112,47,1.02,1.05
Sweden,f0rest,Ninjas in Pyjamas,982,25791,1442,1.08,1.05
United States,WolfY,ECSTATIC,119,3259,273,1.14,1.05
Brazil,fer,SK,1046,27668,1142,1.06,1.05
Poland,hades,ENCE,407,10670,796,1.12,1.05
Bulgaria,poizon,Complexity,447,11997,579,1.07,1.05
Ukraine,headtr1ck,Ninjas in Pyjamas,157,4174,329,1.13,1.04
Sweden,draken,Ninjas in Pyjamas,487,12968,740,1.09,1.04
Romania,lauNX,Sprout,103,2840,59,1.03,1.04
Israel,NertZ,HEROIC,216,5426,246,1.07,1.04
Russia,mir,Virtus.pro,697,18282,822,1.07,1.04
Denmark,mertz,North,262,6951,372,1.08,1.04
United States,Ethan,NRG,732,19541,684,1.05,1.04
Denmark,acoR,GamerLegion,536,14071,848,1.1,1.04
Germany,nex,BIG,623,16586,717,1.06,1.04
Sweden,FREDDyFROG,Red Reserve,75,1976,106,1.08,1.04
